"x";"y";"Land_Use"
5025000;4275000;"12"
5025000;4225000;"12"
5225000;4125000;"12"
4725000;4075000;"12"
5225000;4075000;"12"
4625000;4025000;"12"
5275000;4025000;"12"
5225000;3975000;"12"
4475000;3925000;"12"
4525000;3925000;"12"
4625000;3925000;"12"
5225000;3925000;"12"
3575000;3875000;"12"
5325000;3875000;"12"
5375000;3875000;"12"
5075000;3825000;"12"
5125000;3825000;"12"
5275000;3825000;"12"
5325000;3825000;"12"
3475000;3775000;"12"
3525000;3775000;"12"
4325000;3775000;"12"
5025000;3775000;"12"
5075000;3775000;"12"
5125000;3775000;"12"
5175000;3775000;"12"
5225000;3775000;"12"
5275000;3775000;"12"
5325000;3775000;"12"
4225000;3725000;"12"
4275000;3725000;"12"
4325000;3725000;"12"
5025000;3725000;"12"
5075000;3725000;"12"
5125000;3725000;"12"
5175000;3725000;"12"
5225000;3725000;"12"
5275000;3725000;"12"
3525000;3675000;"12"
4225000;3675000;"12"
4275000;3675000;"12"
4325000;3675000;"12"
5075000;3675000;"12"
5125000;3675000;"12"
5175000;3675000;"12"
5225000;3675000;"12"
5275000;3675000;"12"
3575000;3625000;"12"
4225000;3625000;"12"
4275000;3625000;"12"
4425000;3625000;"12"
4525000;3625000;"12"
4575000;3625000;"12"
5125000;3625000;"12"
5175000;3625000;"12"
5225000;3625000;"12"
5275000;3625000;"12"
3575000;3575000;"12"
4275000;3575000;"12"
4325000;3575000;"12"
4425000;3575000;"12"
5175000;3575000;"12"
5225000;3575000;"12"
3575000;3525000;"12"
3625000;3525000;"12"
4275000;3525000;"12"
4425000;3525000;"12"
4825000;3525000;"12"
5075000;3525000;"12"
5125000;3525000;"12"
5175000;3525000;"12"
3575000;3475000;"12"
3625000;3475000;"12"
4275000;3475000;"12"
4325000;3475000;"12"
4525000;3475000;"12"
4725000;3475000;"12"
4775000;3475000;"12"
4875000;3475000;"12"
4925000;3475000;"12"
4975000;3475000;"12"
5025000;3475000;"12"
5075000;3475000;"12"
5125000;3475000;"12"
5175000;3475000;"12"
3475000;3425000;"12"
3575000;3425000;"12"
3625000;3425000;"12"
4275000;3425000;"12"
4325000;3425000;"12"
4375000;3425000;"12"
4425000;3425000;"12"
4475000;3425000;"12"
4525000;3425000;"12"
4575000;3425000;"12"
4675000;3425000;"12"
4725000;3425000;"12"
4825000;3425000;"12"
4925000;3425000;"12"
4975000;3425000;"12"
5125000;3425000;"12"
5175000;3425000;"12"
3475000;3375000;"12"
3575000;3375000;"12"
3625000;3375000;"12"
4125000;3375000;"12"
4275000;3375000;"12"
4325000;3375000;"12"
4375000;3375000;"12"
4425000;3375000;"12"
4475000;3375000;"12"
4525000;3375000;"12"
4575000;3375000;"12"
4625000;3375000;"12"
4675000;3375000;"12"
4775000;3375000;"12"
4825000;3375000;"12"
4875000;3375000;"12"
4925000;3375000;"12"
4975000;3375000;"12"
5025000;3375000;"12"
5075000;3375000;"12"
5125000;3375000;"12"
5175000;3375000;"12"
5225000;3375000;"12"
3475000;3325000;"12"
3525000;3325000;"12"
3575000;3325000;"12"
3625000;3325000;"12"
3675000;3325000;"12"
3725000;3325000;"12"
4125000;3325000;"12"
4175000;3325000;"12"
4225000;3325000;"12"
4275000;3325000;"12"
4375000;3325000;"12"
4425000;3325000;"12"
4475000;3325000;"12"
4575000;3325000;"12"
4625000;3325000;"12"
4675000;3325000;"12"
4775000;3325000;"12"
4825000;3325000;"12"
4875000;3325000;"12"
4925000;3325000;"12"
4975000;3325000;"12"
5025000;3325000;"12"
5075000;3325000;"12"
5125000;3325000;"12"
5175000;3325000;"12"
3475000;3275000;"12"
3525000;3275000;"12"
3575000;3275000;"12"
3625000;3275000;"12"
3675000;3275000;"12"
3725000;3275000;"12"
4025000;3275000;"12"
4125000;3275000;"12"
4175000;3275000;"12"
4225000;3275000;"12"
4275000;3275000;"12"
4325000;3275000;"12"
4375000;3275000;"12"
4425000;3275000;"12"
4475000;3275000;"12"
4525000;3275000;"12"
4625000;3275000;"12"
4725000;3275000;"12"
4775000;3275000;"12"
4825000;3275000;"12"
4875000;3275000;"12"
4925000;3275000;"12"
4975000;3275000;"12"
5025000;3275000;"12"
5075000;3275000;"12"
5125000;3275000;"12"
5175000;3275000;"12"
5225000;3275000;"12"
3475000;3225000;"12"
3525000;3225000;"12"
3575000;3225000;"12"
3625000;3225000;"12"
3675000;3225000;"12"
4125000;3225000;"12"
4175000;3225000;"12"
4225000;3225000;"12"
4275000;3225000;"12"
4325000;3225000;"12"
4375000;3225000;"12"
4425000;3225000;"12"
4475000;3225000;"12"
4525000;3225000;"12"
4725000;3225000;"12"
4775000;3225000;"12"
4825000;3225000;"12"
